"a_number","b_number","duration","noDayTime","noNightTime","calleeCarrier","weight","startTime","callDay","startDate"
"975","1227","2263","37","0","","2881.0","9.0419","Wednesday","20151007"
"975","1081","75","5","0","","241.0","12.4337","Sunday","20151011"
"1081","1016","512","13","0","","721.0","9.0145","Saturday","20151010"
"1345","1315","260","0","5","","241.0","17.3357","Thursday","20151008"
"1186","1266","1516","29","0","","2641.0","15.1531","Wednesday","20151007"
"897","1235","255","0","5","","241.0","23.3702","Friday","20151009"
"1350","1227","1389","0","9","","1681.0","18.0127","Friday","20151009"
"897","1311","1276","0","17","","1681.0","18.355","Wednesday","20151007"
"1307","1363","525","5","0","","481.0","15.2946","Saturday","20151010"
"568","1136","165","0","1","","1.0","0.5159","Friday","20151009"
"1342","867","1100","5","0","","961.0","13.4723","Wednesday","20151007"
"1342","1282","3578","13","0","","3601.0","14.2423","Wednesday","20151007"
"1342","1376","3485","0","13","","3121.0","20.0507","Monday","20151005"
"1336","1394","150","0","5","","241.0","17.1644","Tuesday","20151006"
"1336","1226","150","5","0","","241.0","11.2432","Saturday","20151010"
"1336","1008","1409","5","12","","1921.0","15.4204","Friday","20151009"
"1336","757","5610","29","0","","6001.0","11.1959","Sunday","20151011"
"929","1130","26","1","0","","1.0","11.5952","Wednesday","20151007"
"1075","1334","800","0","5","","721.0","18.3404","Wednesday","20151007"
"1075","1008","575","5","0","","481.0","10.5026","Wednesday","20151007"
"1092","654","196","0","5","","241.0","17.0129","Wednesday","20151007"
"1092","1269","1853","37","0","","2401.0","8.5931","Saturday","20151010"
"1092","1239","129","0","1","","1.0","17.2011","Friday","20151009"
"1118","1258","233","13","0","","721.0","8.5931","Friday","20151009"
"1203","1296","570","13","0","","721.0","15.5849","Thursday","20151008"
"933","1367","230","0","5","","241.0","17.1459","Friday","20151009"
"1331","1269","2169","4","13","","2401.0","18.021","Thursday","20151008"
"1364","1091","14108","45","44","","16561.0","16.5546","Thursday","20151008"
"1364","1030","5217","33","4","","6721.0","16.0339","Monday","20151005"
"1364","1296","719","5","4","","961.0","11.3831","Saturday","20151010"
"1364","1236","509","0","1","","1.0","21.3322","Friday","20151009"
"1150","1307","21","0","1","","1.0","19.4224","Monday","20151005"
"1091","1332","249","9","0","","481.0","11.09","Sunday","20151011"
"1091","870","156","1","0","","1.0","10.5141","Saturday","20151010"
"1091","1003","392","1","0","","1.0","11.0937","Sunday","20151011"
"887","1269","687","5","0","","721.0","7.3857","Sunday","20151011"
"1318","1273","21","1","0","","1.0","12.2253","Monday","20151005"
"896","1188","538","21","0","","1201.0","9.4323","Monday","20151005"
"1364","1127","520","0","5","","481.0","18.4614","Saturday","20151010"
"1359","1274","225","5","0","","241.0","9.0923","Monday","20151005"
"1359","1041","135","5","0","","241.0","10.2243","Thursday","20151008"
"1107","1336","295","5","0","","241.0","15.2711","Thursday","20151008"
"1109","1195","1006","25","20","","2641.0","15.5442","Thursday","20151008"
"1023","1086","560","9","0","","721.0","7.1038","Sunday","20151011"
"1304","1134","1147","13","0","","1681.0","9.5217","Saturday","20151010"
"1070","896","899","8","37","","2641.0","20.5648","Friday","20151009"
"1070","1282","1065","5","0","","961.0","15.4557","Friday","20151009"
"1177","845","2022","13","0","","2161.0","12.1839","Monday","20151005"
"1041","870","2515","0","5","","2161.0","22.0237","Tuesday","20151006"
"1260","1376","12842","13","0","","13201.0","7.4052","Monday","20151005"
"1194","1274","294","1","4","","241.0","15.5533","Saturday","20151010"
"568","989","1846","9","0","","1921.0","15.1638","Sunday","20151011"
"568","870","310","5","0","","481.0","8.3836","Friday","20151009"
"1222","1310","462","0","1","","1.0","17.4141","Tuesday","20151006"
"1102","1204","565","5","0","","481.0","12.1227","Tuesday","20151006"
"1332","1311","245","5","0","","241.0","8.4943","Monday","20151005"
"1376","1136","2293","29","0","","3121.0","14.0553","Sunday","20151011"
"1008","1376","289","1","0","","1.0","10.1817","Thursday","20151008"
"1008","867","295","0","1","","1.0","4.1549","Monday","20151005"
"1008","1075","1382","5","0","","1201.0","14.5408","Sunday","20151011"
"1241","1107","3750","45","0","","5041.0","10.2656","Monday","20151005"
"1241","1351","1868","21","0","","2641.0","11.2105","Monday","20151005"
"1286","1285","172","13","0","","721.0","8.2549","Wednesday","20151007"
"1261","1080","742","9","0","","961.0","13.5831","Monday","20151005"
"1261","1086","331","0","1","","1.0","17.0041","Saturday","20151010"
"1261","1116","60","1","0","","1.0","13.381","Thursday","20151008"
"1261","1239","30","0","1","","1.0","19.163","Monday","20151005"
"1333","1352","810","17","0","","1201.0","11.0836","Thursday","20151008"
"1333","1288","55","5","0","","241.0","14.0314","Wednesday","20151007"
"1239","1133","202","5","0","","241.0","7.213","Wednesday","20151007"
"1363","1381","55","5","0","","241.0","9.2451","Monday","20151005"
"1363","1188","3771","21","8","","4801.0","9.4412","Thursday","20151008"
"1308","896","1940","0","13","","2161.0","19.0647","Friday","20151009"
"1308","1023","3922","48","5","","5281.0","17.1418","Sunday","20151011"
"1004","1340","1059","13","0","","1201.0","15.475","Wednesday","20151007"
"1004","1192","99","1","0","","1.0","7.2143","Monday","20151005"
"1004","1292","957","9","4","","1201.0","11.3952","Friday","20151009"
"1004","1310","4683","5","4","","3121.0","9.4653","Sunday","20151011"
"1226","989","1962","0","13","","1921.0","19.4015","Saturday","20151010"
"870","1332","6","1","0","","1.0","10.1304","Monday","20151005"
"1361","1371","95","5","0","","241.0","13.0906","Wednesday","20151007"
"1361","867","1280","5","0","","1201.0","11.1034","Tuesday","20151006"
"1361","1351","345","5","0","","481.0","10.082","Thursday","20151008"
"1075","621","2072","4","5","","2401.0","19.1104","Wednesday","20151007"
"1016","1119","71","0","1","","1.0","21.1533","Wednesday","20151007"
"1016","1222","10","1","0","","1.0","14.0745","Friday","20151009"
"1110","1340","151","1","4","","241.0","16.0546","Saturday","20151010"
"1110","1376","192","1","0","","1.0","11.0305","Monday","20151005"
"1295","897","739","9","0","","961.0","10.2425","Tuesday","20151006"
"1303","1351","35","1","0","","1.0","8.2743","Monday","20151005"
"1059","870","2115","9","0","","2161.0","9.5354","Monday","20151005"
"1352","1286","2977","13","0","","3361.0","11.4332","Tuesday","20151006"
"1352","621","500","5","0","","481.0","11.2859","Sunday","20151011"
"1270","1273","229","1","0","","1.0","14.3115","Wednesday","20151007"
"1052","1327","2811","13","0","","3121.0","15.1231","Monday","20151005"
